(100, 1, 0.523486901535682)
(100, 2, 0.5320686540198736)
(100, 3, 0.518970189701897)
(100, 4, 0.5374887082204155)
(100, 5, 0.530713640469738)
(100, 6, 0.5298102981029811)
(100, 7, 0.5356820234869015)
(100, 8, 0.5284552845528455)
(100, 9, 0.542457091237579)
(100, 10, 0.521680216802168)
(100, 11, 0.5401987353206865)
(100, 12, 0.5311653116531165)
(100, 13, 0.5343270099367661)
(100, 14, 0.5298102981029811)
(100, 15, 0.5275519421860885)
(100, 16, 0.5320686540198736)
(100, 17, 0.5429087624209575)
(100, 18, 0.519873532068654)
(100, 19, 0.5293586269196026)
(100, 20, 0.533423667570009)
(200, 1, 0.520776874435411)
(200, 2, 0.5356820234869015)
(200, 3, 0.528003613369467)
(200, 4, 0.5343270099367661)
(200, 5, 0.5320686540198736)
(200, 6, 0.5365853658536586)
(200, 7, 0.528906955736224)
(200, 8, 0.5298102981029811)
(200, 9, 0.544263775971093)
(200, 10, 0.533423667570009)
(200, 11, 0.5248419150858176)
(200, 12, 0.5338753387533876)
(200, 13, 0.525293586269196)
(200, 14, 0.5316169828364951)
(200, 15, 0.523486901535682)
(200, 16, 0.5311653116531165)
(200, 17, 0.5370370370370371)
(200, 18, 0.53613369467028)
(200, 19, 0.5302619692863595)
(200, 20, 0.5271002710027101)
(300, 1, 0.5203252032520326)
(300, 2, 0.5343270099367661)
(300, 3, 0.5298102981029811)
(300, 4, 0.5302619692863595)
(300, 5, 0.5347786811201445)
(300, 6, 0.5447154471544715)
(300, 7, 0.523486901535682)
(300, 8, 0.530713640469738)
(300, 9, 0.5370370370370371)
(300, 10, 0.5329719963866305)
(300, 11, 0.5284552845528455)
(300, 12, 0.533423667570009)
(300, 13, 0.5347786811201445)
(300, 14, 0.532520325203252)
(300, 15, 0.5271002710027101)
(300, 16, 0.530713640469738)
(300, 17, 0.5411020776874436)
(300, 18, 0.528003613369467)
(300, 19, 0.528906955736224)
(300, 20, 0.533423667570009)
(400, 1, 0.524390243902439)
(400, 2, 0.5316169828364951)
(400, 3, 0.53613369467028)
(400, 4, 0.5329719963866305)
(400, 5, 0.5338753387533876)
(400, 6, 0.537940379403794)
(400, 7, 0.5266485998193315)
(400, 8, 0.530713640469738)
(400, 9, 0.5420054200542005)
(400, 10, 0.5293586269196026)
(400, 11, 0.528906955736224)
(400, 12, 0.5298102981029811)
(400, 13, 0.5329719963866305)
(400, 14, 0.5266485998193315)
(400, 15, 0.5356820234869015)
(400, 16, 0.5320686540198736)
(400, 17, 0.5438121047877146)
(400, 18, 0.5302619692863595)
(400, 19, 0.5248419150858176)
(400, 20, 0.5392953929539296)
(500, 1, 0.528906955736224)
(500, 2, 0.5343270099367661)
(500, 3, 0.535230352303523)
(500, 4, 0.5338753387533876)
(500, 5, 0.5343270099367661)
(500, 6, 0.537940379403794)
(500, 7, 0.525293586269196)
(500, 8, 0.5271002710027101)
(500, 9, 0.5415537488708221)
(500, 10, 0.532520325203252)
(500, 11, 0.5284552845528455)
(500, 12, 0.535230352303523)
(500, 13, 0.5311653116531165)
(500, 14, 0.5302619692863595)
(500, 15, 0.5316169828364951)
(500, 16, 0.533423667570009)
(500, 17, 0.540650406504065)
(500, 18, 0.5271002710027101)
(500, 19, 0.5293586269196026)
(500, 20, 0.535230352303523)
(600, 1, 0.5266485998193315)
(600, 2, 0.5298102981029811)
(600, 3, 0.5320686540198736)
(600, 4, 0.5370370370370371)
(600, 5, 0.532520325203252)
(600, 6, 0.5316169828364951)
(600, 7, 0.5271002710027101)
(600, 8, 0.5275519421860885)
(600, 9, 0.5388437217705511)
(600, 10, 0.5239385727190605)
(600, 11, 0.528003613369467)
(600, 12, 0.532520325203252)
(600, 13, 0.5275519421860885)
(600, 14, 0.5293586269196026)
(600, 15, 0.5311653116531165)
(600, 16, 0.5347786811201445)
(600, 17, 0.53613369467028)
(600, 18, 0.5293586269196026)
(600, 19, 0.5248419150858176)
(600, 20, 0.5311653116531165)
(700, 1, 0.5284552845528455)
(700, 2, 0.530713640469738)
(700, 3, 0.5401987353206865)
(700, 4, 0.5320686540198736)
(700, 5, 0.533423667570009)
(700, 6, 0.5338753387533876)
(700, 7, 0.5284552845528455)
(700, 8, 0.526196928635953)
(700, 9, 0.5388437217705511)
(700, 10, 0.5356820234869015)
(700, 11, 0.5293586269196026)
(700, 12, 0.532520325203252)
(700, 13, 0.5338753387533876)
(700, 14, 0.5298102981029811)
(700, 15, 0.528906955736224)
(700, 16, 0.5383920505871725)
(700, 17, 0.5388437217705511)
(700, 18, 0.532520325203252)
(700, 19, 0.5266485998193315)
(700, 20, 0.533423667570009)
(800, 1, 0.5298102981029811)
(800, 2, 0.533423667570009)
(800, 3, 0.5343270099367661)
(800, 4, 0.5370370370370371)
(800, 5, 0.53613369467028)
(800, 6, 0.5374887082204155)
(800, 7, 0.5257452574525745)
(800, 8, 0.5225835591689251)
(800, 9, 0.5347786811201445)
(800, 10, 0.5383920505871725)
(800, 11, 0.5284552845528455)
(800, 12, 0.535230352303523)
(800, 13, 0.5329719963866305)
(800, 14, 0.533423667570009)
(800, 15, 0.5293586269196026)
(800, 16, 0.5347786811201445)
(800, 17, 0.5365853658536586)
(800, 18, 0.532520325203252)
(800, 19, 0.528906955736224)
(800, 20, 0.532520325203252)
(900, 1, 0.5311653116531165)
(900, 2, 0.5347786811201445)
(900, 3, 0.5311653116531165)
(900, 4, 0.5370370370370371)
(900, 5, 0.53613369467028)
(900, 6, 0.53613369467028)
(900, 7, 0.5293586269196026)
(900, 8, 0.526196928635953)
(900, 9, 0.5329719963866305)
(900, 10, 0.5374887082204155)
(900, 11, 0.5275519421860885)
(900, 12, 0.5343270099367661)
(900, 13, 0.5316169828364951)
(900, 14, 0.5329719963866305)
(900, 15, 0.530713640469738)
(900, 16, 0.5338753387533876)
(900, 17, 0.5365853658536586)
(900, 18, 0.535230352303523)
(900, 19, 0.5266485998193315)
(900, 20, 0.5347786811201445)
(1000, 1, 0.5316169828364951)
(1000, 2, 0.532520325203252)
(1000, 3, 0.530713640469738)
(1000, 4, 0.530713640469738)
(1000, 5, 0.5370370370370371)
(1000, 6, 0.5320686540198736)
(1000, 7, 0.530713640469738)
(1000, 8, 0.5284552845528455)
