Feature Importances (sorted by importance):

LightGBM Whole Data
1000 trees
{'learning_rate': 0.001, 'num_leaves': 15, 'feature_fraction': 0.65, 'bagging_fraction': 0.65, 'bagging_freq': 1, 'min_child_samples': 100, 'objective': 'binary', 'verbose': 0}

away_batting_onbase_plus_slugging_std: 699.0012016296387
home_pitcher_earned_run_avg_std: 698.3872995376587
away_pitcher_H_batters_faced_10RA: 697.6098966598511
home_team_spread_std: 686.3288955688477
home_batting_RBI_std: 686.2213945388794
home_pitching_earned_run_avg_10RA: 678.2974977493286
away_pitching_SO_batters_faced_std: 668.1416006088257
home_batting_onbase_perc_std: 665.4809045791626
away_batting_wpa_bat_mean: 663.4215955734253
home_batting_leverage_index_avg_skew: 661.173303604126
home_batting_onbase_perc_10RA: 658.8006010055542
home_pitcher_leverage_index_avg_mean: 656.6728048324585
away_pitcher_earned_run_avg_skew: 642.1629009246826
away_batting_batting_avg_std: 621.3476982116699
home_pitching_leverage_index_avg_skew: 614.8862962722778
home_pitcher_earned_run_avg_mean: 613.4345970153809
away_batting_batting_avg_skew: 610.3663988113403
away_pitching_leverage_index_avg_skew: 602.2151002883911
home_batting_RBI_10RA: 601.34059715271
away_batting_RBI_10RA: 593.0169973373413
home_pitching_SO_batters_faced_10RA: 586.9365015029907
home_batting_leverage_index_avg_mean: 583.7730026245117
away_pitching_H_batters_faced_std: 583.5630016326904
away_team_rest: 560.7182970046997
away_pitching_H_batters_faced_skew: 535.5530004501343
away_pitching_BB_batters_faced_skew: 531.5301961898804
home_pitcher_H_batters_faced_std: 512.0995006561279
home_pitcher_leverage_index_avg_skew: 510.51100063323975
away_pitcher_earned_run_avg_std: 471.8990020751953
home_batting_leverage_index_avg_std: 450.3050012588501
home_pitching_leverage_index_avg_mean: 445.50710010528564
home_pitching_H_batters_faced_std: 433.7002010345459
home_team_spread_skew: 410.8350019454956
away_pitcher_rest: 303.22010040283203
home_pitcher_rest: 118.53139972686768
season: 52.93760013580322
